Evidence	ProteinId	AnnotationType	Value	Start	End
UR000345849	KAF7789097.1	feature.TOPO_DOM	Lumenal	34	45
UR000345849	KAF7789097.1	feature.TOPO_DOM	Cytoplasmic	68	94
UR000345849	KAF7789097.1	feature.REGION	S-adenosyl-L-methionine binding	99	101
UR000345849	KAF7789097.1	feature.TOPO_DOM	Lumenal	116	158
UR000345849	KAF7789097.1	feature.TOPO_DOM	Cytoplasmic	180	201
UR000345849	KAF7789097.1	feature.REGION	S-adenosyl-L-methionine binding	181	182
UR000000866	KAF7789205.1	comment.similarity	Belongs to the MCM family		
UR000000866	KAF7789205.1	keyword	ATP-binding		
UR000000866	KAF7789205.1	keyword	DNA-binding		
UR000000866	KAF7789205.1	keyword	Nucleotide-binding		
UR000000157	KAF7789288.1	comment.similarity	Belongs to the cytochrome P450 family		
UR000000157	KAF7789288.1	keyword	Heme		
UR000000157	KAF7789288.1	keyword	Iron		
UR000000157	KAF7789288.1	keyword	Metal-binding		
UR000000157	KAF7789288.1	keyword	Monooxygenase		
UR000000157	KAF7789288.1	keyword	Oxidoreductase		
UR000415048	KAF7789396.1	keyword	RNA-binding		
UR000415048	KAF7789396.1	xref.GO	GO:0003723		
UR000000177	KAF7789443.1	comment.similarity	Belongs to the mitochondrial carrier (TC 2.A.29) family		
UR000413536	KAF7789443.1	keyword	Membrane		
UR000000177	KAF7789443.1	keyword	Transmembrane		
UR000413536	KAF7789443.1	keyword	Transmembrane		
UR000000177	KAF7789443.1	keyword	Transport		
UR000413536	KAF7789443.1	xref.GO	GO:0016020		
UR000413536	KAF7789443.1	xref.GO	GO:0016021		
UR000413536	KAF7789443.1	feature.REPEAT	Solcar	3	111
UR000413536	KAF7789443.1	feature.REPEAT	Solcar	122	219
UR000413536	KAF7789443.1	feature.REPEAT	Solcar	262	342
UR000000151	KAF7789449.1	comment.similarity	Belongs to the peptidase A1 family		
UR000000151	KAF7789449.1	keyword	Aspartyl protease		
UR000000151	KAF7789449.1	keyword	Hydrolase		
UR000000151	KAF7789449.1	keyword	Protease		
UR000000091	KAF7789465.1	comment.similarity	Belongs to the short-chain dehydrogenases/reductases (SDR) family		
UR000000254	KAF7789521.1	comment.catalytic_activity	Reaction=N-terminal glycyl-[protein] + tetradecanoyl-CoA = CoA + H(+) + N-tetradecanoylglycyl-[protein]; Xref=Rhea:RHEA:15521, Rhea:RHEA-COMP:12666, Rhea:RHEA-COMP:12667, ChEBI:CHEBI:15378, ChEBI:CHEBI:57287, ChEBI:CHEBI:57385, ChEBI:CHEBI:64723, ChEBI:CHEBI:133050; EC=2.3.1.97;		
UR000000254	KAF7789521.1	comment.function	Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins		
UR000000899	KAF7789521.1	comment.similarity	Belongs to the NMT family		
UR000000254	KAF7789521.1	keyword	Acyltransferase		
UR000000254	KAF7789521.1	keyword	Transferase		
UR000000254	KAF7789521.1	protein.recommendedName.ecNumber	2.3.1.97		
UR000000254	KAF7789521.1	protein.recommendedName.fullName	Glycylpeptide N-tetradecanoyltransferase		
UR000413452	KAF7789563.1	keyword	WD repeat		
UR000413452	KAF7789563.1	feature.REPEAT	WD	125	165
UR000413452	KAF7789563.1	feature.REPEAT	WD	249	290
UR000414931	KAF7789610.1	keyword	Zinc-finger		
UR000413452	KAF7789711.1	keyword	WD repeat		
UR000413452	KAF7789711.1	feature.REPEAT	WD	208	249
UR001350766	KAF7789716.1	comment.catalytic_activity	Reaction=myo-inositol + O2 = D-glucuronate + H(+) + H2O; Xref=Rhea:RHEA:23696, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17268, ChEBI:CHEBI:58720; EC=1.13.99.1;		
UR001350766	KAF7789716.1	comment.cofactor	Name=Fe cation; Xref=ChEBI:CHEBI:24875; Note=Binds 2 iron ions per subunit		
UR001350766	KAF7789716.1	comment.pathway	Polyol metabolism; myo-inositol degradation into D-glucuronate; D-glucuronate from myo-inositol: step 1/1		
UR001350766	KAF7789716.1	comment.similarity	Belongs to the myo-inositol oxygenase family		
UR001350766	KAF7789716.1	comment.subcellular_location	Cytoplasm		
UR001350766	KAF7789716.1	keyword	Cytoplasm		
UR001350766	KAF7789716.1	keyword	Iron		
UR001350766	KAF7789716.1	keyword	Metal-binding		
UR001350766	KAF7789716.1	keyword	Oxidoreductase		
UR001350766	KAF7789716.1	protein.alternativeName.fullName	Myo-inositol oxygenase		
UR001350766	KAF7789716.1	protein.recommendedName.ecNumber	1.13.99.1		
UR001350766	KAF7789716.1	protein.recommendedName.fullName	Inositol oxygenase		
UR001350766	KAF7789716.1	xref.GO	GO:0005737		
UR001350766	KAF7789716.1	xref.GO	GO:0019310		
UR001350766	KAF7789716.1	xref.GO	GO:0050113		
UR000414566	KAF7789751.1	keyword	Metal-binding		
UR000414566	KAF7789751.1	keyword	Zinc		
UR000414566	KAF7789751.1	keyword	Zinc-finger		
UR000414566	KAF7789751.1	feature.ZN_FING	C3H1-type	32	76
UR000114505	KAF7789814.1	comment.function	Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin-protein ligase complex that controls progression through mitosis and the G1 phase of the cell cycle		
UR000114505	KAF7789814.1	comment.similarity	Belongs to the APC10 family		
UR000114505	KAF7789814.1	keyword	Cell cycle		
UR000114505	KAF7789814.1	keyword	Cell division		
UR000114505	KAF7789814.1	keyword	Mitosis		
UR000114505	KAF7789814.1	keyword	Ubl conjugation pathway		
UR000114505	KAF7789814.1	protein.recommendedName.fullName	Anaphase-promoting complex subunit 10		
UR000161184	KAF7789822.1	comment.catalytic_activity	Reaction=guanosine(46) in tRNA + S-adenosyl-L-methionine = N(7)-methylguanosine(46) in tRNA + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42708, Rhea:RHEA-COMP:10188, Rhea:RHEA-COMP:10189, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74269, ChEBI:CHEBI:74480; EC=2.1.1.33;		
UR000161184	KAF7789822.1	comment.function	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA		
UR000161184	KAF7789822.1	comment.pathway	tRNA modification; N(7)-methylguanine-tRNA biosynthesis		
UR000161184	KAF7789822.1	comment.similarity	Belongs to the class I-like SAM-binding methyltransferase superfamily. TrmB family		
UR000161184	KAF7789822.1	comment.subcellular_location	Nucleus		
UR000161184	KAF7789822.1	comment.subunit	Forms a complex with TRM82		
UR000161184	KAF7789822.1	gene.name.primary	TRM8		
UR000161184	KAF7789822.1	keyword	Methyltransferase		
UR000161184	KAF7789822.1	keyword	Nucleus		
UR000161184	KAF7789822.1	keyword	RNA-binding		
UR000161184	KAF7789822.1	keyword	S-adenosyl-L-methionine		
UR000161184	KAF7789822.1	keyword	Transferase		
UR000161184	KAF7789822.1	keyword	tRNA processing		
UR000161184	KAF7789822.1	keyword	tRNA-binding		
UR000161184	KAF7789822.1	protein.alternativeName.fullName	Transfer RNA methyltransferase 8		
UR000161184	KAF7789822.1	protein.alternativeName.fullName	tRNA (guanine(46)-N(7))-methyltransferase		
UR000161184	KAF7789822.1	protein.alternativeName.fullName	tRNA(m7G46)-methyltransferase		
UR000161184	KAF7789822.1	protein.recommendedName.ecNumber	2.1.1.33		
UR000161184	KAF7789822.1	protein.recommendedName.fullName	tRNA (guanine-N(7)-)-methyltransferase		
UR000161184	KAF7789822.1	xref.GO	GO:0000049		
UR000161184	KAF7789822.1	xref.GO	GO:0005634		
UR000161184	KAF7789822.1	xref.GO	GO:0008176		
UR000161184	KAF7789822.1	xref.GO	GO:0030488		
UR000161184	KAF7789822.1	feature.BINDING	S-adenosyl-L-methionine; via carbonyl oxygen	70	70
UR000161184	KAF7789822.1	feature.REGION	S-adenosyl-L-methionine binding	93	94
UR000161184	KAF7789822.1	feature.REGION	S-adenosyl-L-methionine binding	136	137
UR000161184	KAF7789822.1	feature.BINDING	S-adenosyl-L-methionine; via carbonyl oxygen	156	156
UR000161184	KAF7789822.1	feature.ACT_SITE		159	159
UR000161184	KAF7789822.1	feature.REGION	S-adenosyl-L-methionine binding	237	239
UR000273255	KAF7789846.1	comment.catalytic_activity	Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.12;		
UR000273255	KAF7789846.1	comment.cofactor	Name=Mg(2+); Xref=ChEBI:CHEBI:18420		
UR000273255	KAF7789846.1	comment.similarity	Belongs to the helicase family		
UR000273255	KAF7789846.1	keyword	ATP-binding		
UR000273255	KAF7789846.1	keyword	DNA damage		
UR000273255	KAF7789846.1	keyword	DNA recombination		
UR000273255	KAF7789846.1	keyword	DNA repair		
UR000273255	KAF7789846.1	keyword	Helicase		
UR000273255	KAF7789846.1	keyword	Hydrolase		
UR000273255	KAF7789846.1	keyword	Nucleotide-binding		
UR000273255	KAF7789846.1	protein.recommendedName.ecNumber	3.6.4.12		
UR000273255	KAF7789846.1	protein.recommendedName.fullName	ATP-dependent DNA helicase		
UR000000157	KAF7789957.1	comment.similarity	Belongs to the cytochrome P450 family		
UR000000157	KAF7789957.1	keyword	Heme		
UR000000157	KAF7789957.1	keyword	Iron		
UR000000157	KAF7789957.1	keyword	Metal-binding		
UR000000157	KAF7789957.1	keyword	Monooxygenase		
UR000000157	KAF7789957.1	keyword	Oxidoreductase		
UR000000157	KAF7789960.1	comment.similarity	Belongs to the cytochrome P450 family		
UR000000157	KAF7789960.1	keyword	Heme		
UR000000157	KAF7789960.1	keyword	Iron		
UR000000157	KAF7789960.1	keyword	Metal-binding		
UR000000157	KAF7789960.1	keyword	Monooxygenase		
UR000000157	KAF7789960.1	keyword	Oxidoreductase		
UR000000157	KAF7789965.1	comment.similarity	Belongs to the cytochrome P450 family		
UR000000157	KAF7789965.1	keyword	Heme		
UR000000157	KAF7789965.1	keyword	Iron		
UR000000157	KAF7789965.1	keyword	Metal-binding		
UR000000157	KAF7789965.1	keyword	Monooxygenase		
UR000000157	KAF7789965.1	keyword	Oxidoreductase		
UR001116781	KAF7789974.1	comment.catalytic_activity	Reaction=[(1->4)-N-acetyl-beta-D-glucosaminyl](n) + UDP-N-acetyl-alpha-D-glucosamine = [(1->4)-N-acetyl-beta-D-glucosaminyl](n+1) + H(+) + UDP; Xref=Rhea:RHEA:16637, Rhea:RHEA-COMP:9593, Rhea:RHEA-COMP:9595, ChEBI:CHEBI:15378, ChEBI:CHEBI:17029, ChEBI:CHEBI:57705, ChEBI:CHEBI:58223; EC=2.4.1.16;		
UR001116781	KAF7789974.1	comment.function	Plays a major role in cell wall biogenesis		
UR001116781	KAF7789974.1	comment.similarity	Belongs to the chitin synthase family		
UR001116781	KAF7789974.1	comment.subcellular_location	Cell membrane; Multi-pass membrane protein		
UR001116781	KAF7789974.1	keyword	Cell membrane		
UR001116781	KAF7789974.1	keyword	Cell wall biogenesis/degradation		
UR001116781	KAF7789974.1	keyword	Glycosyltransferase		
UR001116781	KAF7789974.1	keyword	Transferase		
UR001116781	KAF7789974.1	protein.recommendedName.ecNumber	2.4.1.16		
UR001116781	KAF7789974.1	protein.recommendedName.fullName	Chitin synthase		
UR001116781	KAF7789974.1	xref.GO	GO:0004100		
UR001116781	KAF7789974.1	xref.GO	GO:0006031		
UR000925773	KAF7790034.1	comment.catalytic_activity	Reaction=[thioredoxin]-disulfide + H2O + L-methionyl-[protein] = [thioredoxin]-dithiol + L-methionyl-(R)-S-oxide-[protein]; Xref=Rhea:RHEA:24164, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, Rhea:RHEA-COMP:12313, Rhea:RHEA-COMP:12314, ChEBI:CHEBI:15377, ChEBI:CHEBI:16044, ChEBI:CHEBI:29950, ChEBI:CHEBI:45764, ChEBI:CHEBI:50058; EC=1.8.4.12;		
UR000925773	KAF7790034.1	comment.cofactor	Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Note=Binds 1 zinc ion per subunit		
UR000925773	KAF7790034.1	comment.similarity	Belongs to the MsrB Met sulfoxide reductase family		
UR000925773	KAF7790034.1	keyword	Metal-binding		
UR000925773	KAF7790034.1	keyword	Oxidoreductase		
UR000925773	KAF7790034.1	keyword	Zinc		
UR000925773	KAF7790034.1	protein.recommendedName.ecNumber	1.8.4.12		
UR000925773	KAF7790034.1	protein.recommendedName.fullName	Peptide-methionine (R)-S-oxide reductase		
UR000000178	KAF7790059.1	keyword	Glycosidase		
UR000000178	KAF7790059.1	keyword	Hydrolase		
UR000000178	KAF7790059.1	protein.recommendedName.ecNumber	3.2.1.-		
UR000000406	KAF7790123.1	comment.similarity	Belongs to the aldehyde dehydrogenase family		
UR000000406	KAF7790123.1	keyword	Oxidoreductase		
UR000735757	KAF7790205.1	comment.similarity	Belongs to the methyltransferase superfamily. METL family		
UR000735757	KAF7790205.1	keyword	Methyltransferase		
UR000735757	KAF7790205.1	keyword	Transferase		
UR000735757	KAF7790205.1	protein.recommendedName.ecNumber	2.1.1.-		
UR000735757	KAF7790205.1	protein.recommendedName.fullName	Methyltransferase-like protein		
UR000735757	KAF7790205.1	xref.GO	GO:0008168		
UR000413452	KAF7790228.1	keyword	WD repeat		
UR000413452	KAF7790228.1	feature.REPEAT	WD	132	174
UR000121512	KAF7790276.1	comment.similarity	Belongs to the DapA family		
UR000121512	KAF7790276.1	keyword	Lyase		
UR000000198	KAF7790403.1	comment.catalytic_activity	Reaction=2 5-aminolevulinate = H(+) + 2 H2O + porphobilinogen; Xref=Rhea:RHEA:24064, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:58126, ChEBI:CHEBI:356416; EC=4.2.1.24;		
UR000000888	KAF7790403.1	comment.similarity	Belongs to the ALAD family		
UR000000198	KAF7790403.1	comment.subunit	Homooctamer		
UR000000198	KAF7790403.1	keyword	Lyase		
UR000000198	KAF7790403.1	keyword	Porphyrin biosynthesis		
UR000000198	KAF7790403.1	protein.recommendedName.ecNumber	4.2.1.24		
UR000000198	KAF7790403.1	protein.recommendedName.fullName	Delta-aminolevulinic acid dehydratase		
UR001029762	KAF7790469.1	comment.function	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors		
UR001029762	KAF7790469.1	comment.similarity	Belongs to the Mediator complex subunit 14 family		
UR001029762	KAF7790469.1	comment.subcellular_location	Nucleus		
UR001029762	KAF7790469.1	comment.subunit	Component of the Mediator complex		
UR001029762	KAF7790469.1	keyword	Activator		
UR001029762	KAF7790469.1	keyword	Nucleus		
UR001029762	KAF7790469.1	keyword	Transcription		
UR001029762	KAF7790469.1	keyword	Transcription regulation		
UR001029762	KAF7790469.1	protein.alternativeName.fullName	Mediator complex subunit 14		
UR001029762	KAF7790469.1	protein.recommendedName.fullName	Mediator of RNA polymerase II transcription subunit 14		
UR001029762	KAF7790469.1	xref.GO	GO:0003712		
UR001029762	KAF7790469.1	xref.GO	GO:0016592		
UR000400811	KAF7790479.1	keyword	DNA-binding		
UR000400811	KAF7790479.1	keyword	Nucleus		
UR000400811	KAF7790479.1	xref.GO	GO:0003677		
UR000400811	KAF7790479.1	xref.GO	GO:0005634		
UR000400811	KAF7790479.1	feature.DNA_BIND	HMG box	10	83
UR000142765	KAF7790557.1	comment.catalytic_activity	Reaction=5'-end ribonucleotide-tRNA(His) + ATP + GTP + H2O = a 5'-phospho-guanosine-ribonucleotide-tRNA(His) + AMP + 2 diphosphate + H(+); Xref=Rhea:RHEA:54564, Rhea:RHEA-COMP:14193, Rhea:RHEA-COMP:14917, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:37565, ChEBI:CHEBI:138282, ChEBI:CHEBI:141847, ChEBI:CHEBI:456215; EC=2.7.7.79;		
UR000142765	KAF7790557.1	comment.cofactor	Name=Mg(2+); Xref=ChEBI:CHEBI:18420		
UR000142765	KAF7790557.1	comment.function	Adds a GMP to the 5'-end of tRNA(His) after transcription and RNase P cleavage		
UR000142765	KAF7790557.1	comment.similarity	Belongs to the tRNA(His) guanylyltransferase family		
UR000142765	KAF7790557.1	keyword	GTP-binding		
UR000142765	KAF7790557.1	keyword	Magnesium		
UR000142765	KAF7790557.1	keyword	Metal-binding		
UR000142765	KAF7790557.1	keyword	Nucleotide-binding		
UR000142765	KAF7790557.1	keyword	Nucleotidyltransferase		
UR000142765	KAF7790557.1	keyword	Transferase		
UR000142765	KAF7790557.1	keyword	tRNA processing		
UR000142765	KAF7790557.1	protein.alternativeName.fullName	tRNA-histidine guanylyltransferase		
UR000142765	KAF7790557.1	protein.recommendedName.ecNumber	2.7.7.79		
UR000142765	KAF7790557.1	protein.recommendedName.fullName	tRNA(His) guanylyltransferase		
UR000142765	KAF7790557.1	xref.GO	GO:0000287		
UR000142765	KAF7790557.1	xref.GO	GO:0005525		
UR000142765	KAF7790557.1	xref.GO	GO:0006400		
UR000142765	KAF7790557.1	xref.GO	GO:0008033		
UR000142765	KAF7790557.1	xref.GO	GO:0008193		
UR000416792	KAF7790604.1	comment.cofactor	Name=FMN; Xref=ChEBI:CHEBI:58210		
UR000416792	KAF7790604.1	comment.similarity	Belongs to the FMN-dependent alpha-hydroxy acid dehydrogenase family		
UR000416792	KAF7790604.1	keyword	FMN		
UR000416792	KAF7790604.1	keyword	Flavoprotein		
UR000416792	KAF7790604.1	feature.BINDING	Substrate	56	56
UR000416792	KAF7790604.1	feature.BINDING	FMN	138	138
UR000416792	KAF7790604.1	feature.BINDING	FMN	183	183
UR000416792	KAF7790604.1	feature.BINDING	Substrate	185	185
UR000416792	KAF7790604.1	feature.BINDING	FMN	211	211
UR000416792	KAF7790604.1	feature.BINDING	Substrate	220	220
UR000416792	KAF7790604.1	feature.BINDING	FMN	298	298
UR000416792	KAF7790604.1	feature.ACT_SITE	Proton acceptor	322	322
UR000416792	KAF7790604.1	feature.BINDING	Substrate	325	325
UR000416792	KAF7790604.1	feature.NP_BIND	FMN	353	377
UR001419752	KAF7790606.1	comment.similarity	Belongs to the EMC2 family		
UR001419752	KAF7790606.1	comment.subcellular_location	Cytoplasm		
UR001419752	KAF7790606.1	comment.subunit	Component of the ER membrane protein complex (EMC)		
UR001419752	KAF7790606.1	keyword	Cytoplasm		
UR000400380	KAF7790606.1	keyword	TPR repeat		
UR001419752	KAF7790606.1	protein.recommendedName.fullName	ER membrane protein complex subunit 2		
UR001419752	KAF7790606.1	xref.GO	GO:0005634		
UR001419752	KAF7790606.1	xref.GO	GO:0005737		
UR001419752	KAF7790606.1	xref.GO	GO:0072546		
UR000400380	KAF7790606.1	feature.REPEAT	TPR	118	151
UR000400380	KAF7790606.1	feature.REPEAT	TPR	152	185
UR000400380	KAF7790664.1	keyword	TPR repeat		
UR000400380	KAF7790664.1	feature.REPEAT	TPR	5	38
UR000000054	KAF7790720.1	comment.similarity	Belongs to the protein kinase superfamily		
UR000000054	KAF7790720.1	keyword	ATP-binding		
UR000000054	KAF7790720.1	keyword	Nucleotide-binding		
UR000000054	KAF7790720.1	keyword	Serine/threonine-protein kinase		
UR001184758	KAF7790817.1	comment.function	Common component of the spliceosome and rRNA processing machinery		
UR001184758	KAF7790817.1	comment.similarity	Belongs to the eukaryotic ribosomal protein eL8 family		
UR001184758	KAF7790817.1	comment.subcellular_location	Nucleus, nucleolus		
UR001184758	KAF7790817.1	keyword	Nucleus		
UR001184758	KAF7790817.1	keyword	RNA-binding		
UR001184758	KAF7790817.1	keyword	Ribonucleoprotein		
UR001184758	KAF7790817.1	protein.recommendedName.fullName	Ribonucloprotein		
UR000020654	KAF7790857.1	comment.catalytic_activity	Reaction=(6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n + ATP + L-glutamate = (6S)-5,6,7,8-tetrahydrofolyl-(gamma-L-Glu)n+1 + ADP + H(+) + phosphate; Xref=Rhea:RHEA:10580, Rhea:RHEA-COMP:14738, Rhea:RHEA-COMP:14740, ChEBI:CHEBI:15378, ChEBI:CHEBI:29985, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:141005, ChEBI:CHEBI:456216; EC=6.3.2.17;		
UR000020654	KAF7790857.1	comment.cofactor	Name=a monovalent cation; Xref=ChEBI:CHEBI:60242; Note=A monovalent cation		
UR000020654	KAF7790857.1	comment.function	Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis		
UR000020654	KAF7790857.1	comment.pathway	Cofactor biosynthesis; tetrahydrofolylpolyglutamate biosynthesis		
UR000020654	KAF7790857.1	comment.similarity	Belongs to the folylpolyglutamate synthase family		
UR000020654	KAF7790857.1	keyword	Ligase		
UR000020654	KAF7790857.1	keyword	One-carbon metabolism		
UR000020654	KAF7790857.1	protein.alternativeName.fullName	Folylpoly-gamma-glutamate synthetase		
UR000020654	KAF7790857.1	protein.alternativeName.fullName	Tetrahydrofolylpolyglutamate synthase		
UR000020654	KAF7790857.1	protein.recommendedName.ecNumber	6.3.2.17		
UR000020654	KAF7790857.1	protein.recommendedName.fullName	Folylpolyglutamate synthase		
UR000481787	KAF7790912.1	comment.function	The EMC seems to be required for efficient folding of proteins in the endoplasmic reticulum (ER)		
UR000481787	KAF7790912.1	comment.similarity	Belongs to the EMC3 family		
UR000481787	KAF7790912.1	protein.recommendedName.fullName	ER membrane protein complex subunit 3		
UR000127463	KAF7791079.1	comment.similarity	Belongs to the peptidase S10 family		
UR000127463	KAF7791079.1	keyword	Carboxypeptidase		
UR000127463	KAF7791079.1	keyword	Hydrolase		
UR000127463	KAF7791079.1	keyword	Protease		
UR000127463	KAF7791079.1	protein.recommendedName.ecNumber	3.4.16.-		
UR000127463	KAF7791079.1	protein.recommendedName.fullName	Carboxypeptidase		
UR000127463	KAF7791079.1	xref.GO	GO:0004185		
UR000127463	KAF7791079.1	xref.GO	GO:0006508		
UR000127463	KAF7791080.1	comment.similarity	Belongs to the peptidase S10 family		
UR000127463	KAF7791080.1	keyword	Carboxypeptidase		
UR000127463	KAF7791080.1	keyword	Hydrolase		
UR000127463	KAF7791080.1	keyword	Protease		
UR000127463	KAF7791080.1	protein.recommendedName.ecNumber	3.4.16.-		
UR000127463	KAF7791080.1	protein.recommendedName.fullName	Carboxypeptidase		
UR000127463	KAF7791080.1	xref.GO	GO:0004185		
UR000127463	KAF7791080.1	xref.GO	GO:0006508		
UR000413452	KAF7791108.1	keyword	WD repeat		
UR000413452	KAF7791108.1	feature.REPEAT	WD	267	299
UR000413452	KAF7791108.1	feature.REPEAT	WD	311	345
UR000413452	KAF7791108.1	feature.REPEAT	WD	360	401
UR000413452	KAF7791108.1	feature.REPEAT	WD	402	443
UR000413452	KAF7791160.1	keyword	WD repeat		
UR000413452	KAF7791160.1	feature.REPEAT	WD	415	438
UR000413452	KAF7791160.1	feature.REPEAT	WD	439	480
UR000413452	KAF7791160.1	feature.REPEAT	WD	481	520
UR000413452	KAF7791160.1	feature.REPEAT	WD	521	560
UR000413452	KAF7791160.1	feature.REPEAT	WD	561	593
UR000413452	KAF7791160.1	feature.REPEAT	WD	614	644
UR000371006	KAF7791193.1	comment.catalytic_activity	Reaction=formate + NAD(+) = CO2 + NADH; Xref=Rhea:RHEA:15985, ChEBI:CHEBI:15740, ChEBI:CHEBI:16526, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.17.1.9;		
UR000371006	KAF7791193.1	comment.function	Catalyzes the NAD(+)-dependent oxidation of formate to carbon dioxide. Formate oxidation is the final step in the methanol oxidation pathway in methylotrophic microorganisms. Has a role in the detoxification of exogenous formate in non-methylotrophic organisms		
UR000000632	KAF7791193.1	comment.similarity	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family		
UR000371006	KAF7791193.1	comment.similarity	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family. FDH subfamily		
UR000371006	KAF7791193.1	comment.subcellular_location	Cytoplasm		
UR000371006	KAF7791193.1	comment.subunit	Homodimer		
UR000371006	KAF7791193.1	keyword	Cytoplasm		
UR000371006	KAF7791193.1	keyword	NAD		
UR000000632	KAF7791193.1	keyword	Oxidoreductase		
UR000371006	KAF7791193.1	keyword	Oxidoreductase		
