"ProteinId"	"FullName"	"Similariry"	"EC"	"CAZy_HMMER"	"CAZy_Hotpep"	"CAZy_DIAMOND"	"Signalp"
"KAF7789231.1"	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.5"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.-"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.5"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.-"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate-CoA ligase subunit beta"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.5"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate-CoA ligase subunit beta"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.-"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate-CoA ligase subunit beta"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.5"	NA	NA	NA	NA
"KAF7789231.1"	"Succinate-CoA ligase subunit beta"	"Belongs to the succinate/malate CoA ligase beta subunit family"	"6.2.1.-"	NA	NA	NA	NA
"KAF7789236.1"	"Cation-transporting ATPase"	"Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily"	"7.2.2.-"	NA	NA	NA	NA
"KAF7789247.1"	NA	"In the C-terminal section; belongs to the NAGSA dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7789247.1"	NA	"In the N-terminal section; belongs to the acetylglutamate kinase family"	NA	NA	NA	NA	NA
"KAF7789249.1"	NA	"Belongs to the eukaryotic ribosomal protein eL38 family"	NA	NA	NA	NA	NA
"KAF7789251.1"	NA	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family"	NA	NA	NA	NA	NA
"KAF7789270.1"	NA	"Belongs to the acyl-CoA dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7789271.1"	NA	NA	NA	"GT1(263-440)"	"N"	"N"	"N"
"KAF7789281.1"	"RNA-dependent RNA polymerase"	"Belongs to the RdRP family"	"2.7.7.48"	NA	NA	NA	NA
"KAF7789282.1"	"RNA-dependent RNA polymerase"	"Belongs to the RdRP family"	"2.7.7.48"	NA	NA	NA	NA
"KAF7789288.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789290.1"	NA	NA	NA	"N"	"N"	"AA3_2"	"N"
"KAF7789293.1"	NA	NA	NA	"GH16_1(4-176)"	"N"	"N"	"N"
"KAF7789309.1"	NA	"Belongs to the small heat shock protein (HSP20) family"	NA	NA	NA	NA	NA
"KAF7789326.1"	"Kinase"	"Belongs to the inositol phosphokinase (IPK) family"	"2.7.-.-"	NA	NA	NA	NA
"KAF7789327.1"	NA	"Belongs to the eIF-2B alpha/beta/delta subunits family"	NA	NA	NA	NA	NA
"KAF7789328.1"	"5'-3' exoribonuclease"	"Belongs to the 5'-3' exonuclease family. XRN2/RAT1 subfamily"	"3.1.13.-"	NA	NA	NA	NA
"KAF7789333.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789335.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789336.1"	NA	NA	NA	"GH2(21-640)"	"GH2"	"GH2"	"N"
"KAF7789337.1"	"Poly(A) polymerase"	"Belongs to the poly(A) polymerase family"	"2.7.7.19"	NA	NA	NA	NA
"KAF7789340.1"	"Eukaryotic translation initiation factor 3 subunit D"	"Belongs to the eIF-3 subunit D family"	NA	NA	NA	NA	NA
"KAF7789371.1"	NA	"Belongs to the peptidase A1 family"	NA	NA	NA	NA	NA
"KAF7789374.1"	"Spindle pole body component"	"Belongs to the TUBGCP family"	NA	NA	NA	NA	NA
"KAF7789383.1"	"Autophagy-related protein"	"Belongs to the ATG22 family"	NA	NA	NA	NA	NA
"KAF7789390.1"	NA	"Belongs to the aldehyde dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7789397.1"	"Cytochrome c oxidase assembly factor 3"	"Belongs to the COA3 family"	NA	NA	NA	NA	NA
"KAF7789398.1"	"Protein AF-9 homolog"	"Belongs to the YAF9 family"	NA	NA	NA	NA	NA
"KAF7789405.1"	"Molybdopterin molybdenumtransferase"	"Belongs to the MoeA family"	"2.10.1.1"	NA	NA	NA	NA
"KAF7789430.1"	"Inosine triphosphate pyrophosphatase"	"Belongs to the HAM1 NTPase family"	"3.6.1.9"	NA	NA	NA	NA
"KAF7789430.1"	"Inosine triphosphate pyrophosphatase"	"Belongs to the HAM1 NTPase family"	"3.6.1.9"	NA	NA	NA	NA
"KAF7789431.1"	NA	"Belongs to the protein kinase superfamily"	NA	NA	NA	NA	NA
"KAF7789433.1"	NA	"Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family"	NA	NA	NA	NA	NA
"KAF7789443.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7789447.1"	NA	"Belongs to the peptidase A1 family"	NA	NA	NA	NA	NA
"KAF7789448.1"	NA	"Belongs to the GST superfamily"	NA	NA	NA	NA	NA
"KAF7789449.1"	NA	"Belongs to the peptidase A1 family"	NA	NA	NA	NA	NA
"KAF7789452.1"	"DNA-directed RNA polymerase subunit beta"	"Belongs to the RNA polymerase beta chain family"	"2.7.7.6"	NA	NA	NA	NA
"KAF7789452.1"	"DNA-directed RNA polymerase subunit beta"	"Belongs to the RNA polymerase beta chain family"	"2.7.7.6"	NA	NA	NA	NA
"KAF7789456.1"	NA	NA	NA	"AA3_2(3-384)"	"N"	"N"	"N"
"KAF7789460.1"	"Eukaryotic translation initiation factor 3 subunit B"	"Belongs to the eIF-3 subunit B family"	NA	NA	NA	NA	NA
"KAF7789460.1"	"Eukaryotic translation initiation factor 3 subunit B"	"Belongs to the eIF-3 subunit B family"	NA	NA	NA	NA	NA
"KAF7789460.1"	"Eukaryotic translation initiation factor 3 subunit B"	"Belongs to the eIF-3 subunit B family"	NA	NA	NA	NA	NA
"KAF7789460.1"	"Eukaryotic translation initiation factor 3 subunit B"	"Belongs to the eIF-3 subunit B family"	NA	NA	NA	NA	NA
"KAF7789461.1"	NA	NA	"5.2.1.8"	NA	NA	NA	NA
"KAF7789464.1"	"Histidine biosynthesis trifunctional protein"	"In the C-terminal section; belongs to the histidinol dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7789465.1"	NA	"Belongs to the short-chain dehydrogenases/reductases (SDR) family"	NA	NA	NA	NA	NA
"KAF7789467.1"	"Pyruvate dehydrogenase E1 component subunit beta"	NA	"1.2.4.1"	NA	NA	NA	NA
"KAF7789468.1"	"Pyruvate dehydrogenase E1 component subunit beta"	NA	"1.2.4.1"	NA	NA	NA	NA
"KAF7789469.1"	NA	"Belongs to the metallo-dependent hydrolases superfamily"	NA	NA	NA	NA	NA
"KAF7789471.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789475.1"	"Isocitrate dehydrogenase [NAD] subunit, mitochondrial"	"Belongs to the isocitrate and isopropylmalate dehydrogenases family"	NA	NA	NA	NA	NA
"KAF7789476.1"	"DIS3-like exonuclease 2"	"Belongs to the RNR ribonuclease family. DIS3L2 subfamily"	"3.1.13.-"	NA	NA	NA	NA
"KAF7789484.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789488.1"	"60S ribosomal protein L36"	"Belongs to the eukaryotic ribosomal protein eL36 family"	NA	NA	NA	NA	NA
"KAF7789489.1"	"Casein kinase II subunit beta"	"Belongs to the casein kinase 2 subunit beta family"	NA	NA	NA	NA	NA
"KAF7789490.1"	"Casein kinase II subunit beta"	"Belongs to the casein kinase 2 subunit beta family"	NA	NA	NA	NA	NA
"KAF7789506.1"	NA	"Belongs to the FBPase class 1 family"	NA	NA	NA	NA	NA
"KAF7789521.1"	"Glycylpeptide N-tetradecanoyltransferase"	"Belongs to the NMT family"	"2.3.1.97"	NA	NA	NA	NA
"KAF7789523.1"	"T-complex protein 1 subunit delta"	"Belongs to the TCP-1 chaperonin family"	NA	NA	NA	NA	NA
"KAF7789530.1"	NA	"Belongs to the PdxS/SNZ family"	NA	NA	NA	NA	NA
"KAF7789531.1"	NA	"Belongs to the glycosyl hydrolase 43 family"	"3.2.1.-"	"GH43_24(43-306)"	"CBM13"	"CBM35+GH43_24"	"Y(1-19)"
"KAF7789548.1"	"25S rRNA adenine-N(1) methyltransferase"	"Belongs to the BMT2 family"	"2.1.1.-"	NA	NA	NA	NA
"KAF7789549.1"	NA	"Belongs to the protein kinase superfamily"	NA	NA	NA	NA	NA
"KAF7789553.1"	NA	NA	NA	"GH63(387-601)"	"GH63"	"GH63"	"N"
"KAF7789555.1"	NA	"Belongs to the SLC26A/SulP transporter (TC 2.A.53) family"	NA	NA	NA	NA	NA
"KAF7789557.1"	NA	NA	NA	"GH16_1(14-145)"	"N"	"N"	"N"
"KAF7789562.1"	NA	"Belongs to the SLC26A/SulP transporter (TC 2.A.53) family"	NA	NA	NA	NA	NA
"KAF7789567.1"	NA	"Belongs to the glycosyl hydrolase 31 family"	"3.2.1.-"	"GH31(266-702)"	"GH31"	"GH31"	"N"
"KAF7789568.1"	"Transketolase"	"Belongs to the transketolase family"	"2.2.1.1"	NA	NA	NA	NA
"KAF7789570.1"	"Nucleoside diphosphate kinase"	"Belongs to the NDK family"	"2.7.4.6"	NA	NA	NA	NA
"KAF7789591.1"	NA	"Belongs to the universal ribosomal protein uS5 family"	NA	NA	NA	NA	NA
"KAF7789605.1"	"Ubiquinone biosynthesis protein , mitochondrial"	"Belongs to the COQ4 family"	NA	NA	NA	NA	NA
"KAF7789626.1"	NA	"Belongs to the zinc-containing alcohol dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7789642.1"	NA	"Belongs to the glycosyl hydrolase 18 family"	"3.2.1.-"	"GH18(12-208)"	"GH18+CBM1"	"CBM5+GH18"	"N"
"KAF7789663.1"	"Serine/threonine-protein phosphatase"	"Belongs to the PPP phosphatase family"	"3.1.3.16"	NA	NA	NA	NA
"KAF7789665.1"	"Succinate dehydrogenase assembly factor 2, mitochondrial"	"Belongs to the SDHAF2 family"	NA	NA	NA	NA	NA
"KAF7789667.1"	NA	"Belongs to the DEAD box helicase family"	NA	"N"	"N"	"GH37"	"N"
"KAF7789677.1"	"Probable vacuolar protein sorting-associated protein 16 homolog"	"Belongs to the VPS16 family"	NA	NA	NA	NA	NA
"KAF7789686.1"	NA	NA	NA	"GT20(114-604)"	"GT20"	"GT20"	"N"
"KAF7789689.1"	"U6 snRNA-associated Sm-like protein LSm8"	"Belongs to the snRNP Sm proteins family"	NA	NA	NA	NA	NA
"KAF7789691.1"	NA	"Belongs to the universal ribosomal protein uS5 family"	NA	NA	NA	NA	NA
"KAF7789709.1"	NA	"Belongs to the ketol-acid reductoisomerase family"	NA	NA	NA	NA	NA
"KAF7789715.1"	NA	"Belongs to the class-I aminoacyl-tRNA synthetase family"	NA	NA	NA	NA	NA
"KAF7789716.1"	"Inositol oxygenase"	"Belongs to the myo-inositol oxygenase family"	"1.13.99.1"	NA	NA	NA	NA
"KAF7789718.1"	"40S ribosomal protein S6"	"Belongs to the eukaryotic ribosomal protein eS6 family"	NA	NA	NA	NA	NA
"KAF7789719.1"	NA	"Belongs to the universal ribosomal protein uS15 family"	NA	NA	NA	NA	NA
"KAF7789720.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789756.1"	"Checkpoint protein"	"Belongs to the HUS1 family"	NA	NA	NA	NA	NA
"KAF7789766.1"	NA	"Belongs to the Orn/Lys/Arg decarboxylase class-II family"	NA	NA	NA	NA	NA
"KAF7789767.1"	"Serine/threonine-protein phosphatase 2A activator"	"Belongs to the PTPA-type PPIase family"	"5.2.1.8"	NA	NA	NA	NA
"KAF7789774.1"	NA	"Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family"	NA	NA	NA	NA	NA
"KAF7789779.1"	"Fructose-bisphosphate aldolase"	"Belongs to the class II fructose-bisphosphate aldolase family"	"4.1.2.13"	NA	NA	NA	NA
"KAF7789784.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789788.1"	"Mitochondrial import inner membrane translocase subunit"	"Belongs to the small Tim family"	NA	NA	NA	NA	NA
"KAF7789792.1"	NA	"Belongs to the glycosyl hydrolase 5 (cellulase A) family"	NA	NA	NA	NA	NA
"KAF7789793.1"	NA	"Belongs to the glycosyl hydrolase 5 (cellulase A) family"	NA	"N"	"GH5+CBM1"	"N"	"N"
"KAF7789799.1"	NA	NA	NA	"N"	"N"	"GH72"	"Y(1-24)"
"KAF7789805.1"	NA	"Belongs to the DEAD box helicase family"	NA	NA	NA	NA	NA
"KAF7789807.1"	"Peptidyl-prolyl cis-trans isomerase"	"Belongs to the cyclophilin-type PPIase family"	"5.2.1.8"	NA	NA	NA	NA
"KAF7789812.1"	"Arp2/3 complex 34 kDa subunit"	"Belongs to the ARPC2 family"	NA	NA	NA	NA	NA
"KAF7789814.1"	"Anaphase-promoting complex subunit 10"	"Belongs to the APC10 family"	NA	NA	NA	NA	NA
"KAF7789820.1"	"Citrate synthase"	"Belongs to the citrate synthase family"	NA	NA	NA	NA	NA
"KAF7789822.1"	"tRNA (guanine-N(7)-)-methyltransferase"	"Belongs to the class I-like SAM-binding methyltransferase superfamily. TrmB family"	"2.1.1.33"	NA	NA	NA	NA
"KAF7789846.1"	"ATP-dependent DNA helicase"	"Belongs to the helicase family"	"3.6.4.12"	NA	NA	NA	NA
"KAF7789856.1"	"V-type proton ATPase subunit C"	"Belongs to the V-ATPase C subunit family"	NA	NA	NA	NA	NA
"KAF7789861.1"	"Copper transporter"	"Belongs to the copper transporter (Ctr) (TC 1.A.56) family. SLC31A subfamily"	NA	NA	NA	NA	NA
"KAF7789871.1"	"6-phosphogluconolactonase"	"Belongs to the glucosamine/galactosamine-6-phosphate isomerase family. 6-phosphogluconolactonase subfamily"	"3.1.1.31"	NA	NA	NA	NA
"KAF7789876.1"	"Branched-chain-amino-acid aminotransferase"	"Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family"	"2.6.1.42"	"N"	"N"	"GH47"	"N"
"KAF7789877.1"	"6-phosphogluconate dehydrogenase, decarboxylating"	"Belongs to the 6-phosphogluconate dehydrogenase family"	"1.1.1.44"	"N"	"N"	"GT30"	"N"
"KAF7789887.1"	NA	NA	NA	"N"	"GH3+CBM1"	"CBM1+GH3"	"N"
"KAF7789892.1"	NA	"Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family"	NA	NA	NA	NA	NA
"KAF7789900.1"	"Mitochondrial import inner membrane translocase subunit"	"Belongs to the small Tim family"	NA	NA	NA	NA	NA
"KAF7789903.1"	"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]"	"Belongs to the AlaDH/PNT family"	"1.5.1.7"	NA	NA	NA	NA
"KAF7789905.1"	NA	NA	NA	"GT8(3-264)"	"N"	"N"	"N"
"KAF7789907.1"	"Lipoyl synthase, mitochondrial"	"Belongs to the radical SAM superfamily. Lipoyl synthase family"	"2.8.1.8"	NA	NA	NA	NA
"KAF7789916.1"	NA	NA	NA	"N"	"N"	"GH43_30"	"N"
"KAF7789918.1"	"Mitogen-activated protein kinase"	"Belongs to the protein kinase superfamily. Ser/Thr protein kinase family. MAP kinase subfamily"	"2.7.11.24"	NA	NA	NA	NA
"KAF7789918.1"	"Mitogen-activated protein kinase"	"Belongs to the protein kinase superfamily"	"2.7.11.24"	NA	NA	NA	NA
"KAF7789920.1"	NA	"Belongs to the FMN-dependent alpha-hydroxy acid dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7789934.1"	NA	NA	NA	"N"	"GH2"	"GH2"	"N"
"KAF7789942.1"	NA	"Belongs to the glycosyl hydrolase 35 family"	NA	"N"	"GH35"	"GH35"	"N"
"KAF7789944.1"	NA	"Belongs to the heat shock protein 70 family"	NA	NA	NA	NA	NA
"KAF7789954.1"	"Hydrophobin"	"Belongs to the fungal hydrophobin family"	NA	NA	NA	NA	NA
"KAF7789955.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789957.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789958.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789959.1"	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"	"Belongs to the complex I 51 kDa subunit family"	"7.1.1.2"	NA	NA	NA	NA
"KAF7789960.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789965.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789967.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789968.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789970.1"	"Glucosamine 6-phosphate N-acetyltransferase"	"Belongs to the acetyltransferase family. GNA1 subfamily"	"2.3.1.4"	NA	NA	NA	NA
"KAF7789974.1"	"Chitin synthase"	"Belongs to the chitin synthase family"	"2.4.1.16"	"GT2_Chitin_synth_1(261-423)"	"GT2"	"GT2"	"N"
"KAF7789975.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7789983.1"	NA	"Belongs to the TPP enzyme family"	NA	NA	NA	NA	NA
"KAF7789984.1"	NA	NA	NA	"GH12(91-242)"	"GH12"	"N"	"Y(1-19)"
"KAF7789985.1"	NA	"Belongs to the ubiquitin-conjugating enzyme family"	"2.3.2.-"	NA	NA	NA	NA
"KAF7789988.1"	"Carboxylic ester hydrolase"	"Belongs to the type-B carboxylesterase/lipase family"	"3.1.1.-"	NA	NA	NA	NA
"KAF7789999.1"	NA	NA	NA	"AA1_2(39-396)"	"AA1"	"AA1_2"	"N"
"KAF7790007.1"	"RNA-dependent RNA polymerase"	"Belongs to the RdRP family"	"2.7.7.48"	NA	NA	NA	NA
"KAF7790009.1"	"Extracellular metalloproteinase"	"Belongs to the peptidase M36 family"	"3.4.24.-"	NA	NA	NA	NA
"KAF7790019.1"	"RNA-dependent RNA polymerase"	"Belongs to the RdRP family"	"2.7.7.48"	NA	NA	NA	NA
"KAF7790020.1"	"RNA-dependent RNA polymerase"	"Belongs to the RdRP family"	"2.7.7.48"	NA	NA	NA	NA
"KAF7790033.1"	"Mitochondrial import inner membrane translocase subunit TIM44"	"Belongs to the Tim44 family"	NA	NA	NA	NA	NA
"KAF7790034.1"	"Peptide-methionine (R)-S-oxide reductase"	"Belongs to the MsrB Met sulfoxide reductase family"	"1.8.4.12"	NA	NA	NA	NA
"KAF7790059.1"	NA	NA	"3.2.1.-"	"GH18(47-420)"	"N"	"GH18"	"Y(1-33)"
"KAF7790079.1"	NA	"Belongs to the iron/ascorbate-dependent oxidoreductase family"	NA	NA	NA	NA	NA
"KAF7790089.1"	NA	NA	"3.2.1.-"	"GH18(197-704)"	"GH18+CBM5"	"N"	"N"
"KAF7790090.1"	NA	NA	NA	"N"	"N"	"CBM13"	"N"
"KAF7790103.1"	NA	"Belongs to the small GTPase superfamily. Arf family"	NA	NA	NA	NA	NA
"KAF7790106.1"	NA	"Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family"	NA	NA	NA	NA	NA
"KAF7790110.1"	NA	"Belongs to the zinc-containing alcohol dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7790118.1"	"Protein phosphatase"	"Belongs to the PP2C family"	"3.1.3.16"	NA	NA	NA	NA
"KAF7790122.1"	"H/ACA ribonucleoprotein complex subunit"	"Belongs to the GAR1 family"	NA	NA	NA	NA	NA
"KAF7790123.1"	NA	"Belongs to the aldehyde dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7790125.1"	"Superoxide dismutase"	"Belongs to the iron/manganese superoxide dismutase family"	"1.15.1.1"	NA	NA	NA	NA
"KAF7790127.1"	NA	NA	NA	"AA1_1(31-335)"	"AA1"	"AA1_1"	"Y(1-17)"
"KAF7790128.1"	NA	"Belongs to the aspartate/ornithine carbamoyltransferase superfamily"	NA	NA	NA	NA	NA
"KAF7790129.1"	NA	NA	NA	"GT69(161-385)"	"N"	"N"	"N"
"KAF7790134.1"	"Proteasome subunit beta"	"Belongs to the peptidase T1B family"	"3.4.25.1"	NA	NA	NA	NA
"KAF7790135.1"	"Tyrosine--tRNA ligase"	"Belongs to the class-I aminoacyl-tRNA synthetase family"	"6.1.1.1"	NA	NA	NA	NA
"KAF7790135.1"	"Tyrosine--tRNA ligase"	"Belongs to the class-I aminoacyl-tRNA synthetase family"	"6.1.1.1"	NA	NA	NA	NA
"KAF7790141.1"	NA	"Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family"	NA	NA	NA	NA	NA
"KAF7790145.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7790165.1"	NA	"Belongs to the thiolase-like superfamily. Thiolase family"	NA	NA	NA	NA	NA
"KAF7790174.1"	"Dynein light chain"	"Belongs to the dynein light chain family"	NA	NA	NA	NA	NA
"KAF7790187.1"	NA	NA	NA	"GH16_19(88-242)"	"N"	"N"	"Y(1-21)"
"KAF7790191.1"	NA	NA	NA	"N"	"GH115"	"GH115"	"Y(1-21)"
"KAF7790194.1"	NA	NA	NA	"CE1(40-195)"	"CE1+CBM1+CBM2"	"CBM1+CE1"	"Y(1-20)"
"KAF7790196.1"	"Eukaryotic translation initiation factor 3 subunit E"	"Belongs to the eIF-3 subunit E family"	NA	NA	NA	NA	NA
"KAF7790196.1"	"Eukaryotic translation initiation factor 3 subunit E"	"Belongs to the eIF-3 subunit E family"	NA	NA	NA	NA	NA
"KAF7790196.1"	"Eukaryotic translation initiation factor 3 subunit E"	"Belongs to the eIF-3 subunit E family"	NA	NA	NA	NA	NA
"KAF7790196.1"	"Eukaryotic translation initiation factor 3 subunit E"	"Belongs to the eIF-3 subunit E family"	NA	NA	NA	NA	NA
"KAF7790205.1"	"Methyltransferase-like protein"	"Belongs to the methyltransferase superfamily. METL family"	"2.1.1.-"	NA	NA	NA	NA
"KAF7790208.1"	NA	NA	NA	"N"	"N"	"CE3"	"N"
"KAF7790214.1"	NA	"Belongs to the small heat shock protein (HSP20) family"	NA	NA	NA	NA	NA
"KAF7790214.1"	NA	"Belongs to the small heat shock protein (HSP20) family"	NA	NA	NA	NA	NA
"KAF7790215.1"	NA	"Belongs to the glycosyl hydrolase 5 (cellulase A) family"	NA	"GH5_15(100-252)"	"N"	"N"	"N"
"KAF7790229.1"	"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial"	"Belongs to the amidase family. GatA subfamily"	"6.3.5.7"	NA	NA	NA	NA
"KAF7790238.1"	"DNA polymerase"	"Belongs to the DNA polymerase type-B family"	"2.7.7.7"	NA	NA	NA	NA
"KAF7790240.1"	NA	"Belongs to the pirin family"	NA	NA	NA	NA	NA
"KAF7790241.1"	NA	"Belongs to the pirin family"	NA	NA	NA	NA	NA
"KAF7790250.1"	NA	"Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily"	NA	NA	NA	NA	NA
"KAF7790264.1"	NA	NA	NA	"GT2_Chitin_synth_2(435-935)"	"GT2"	"GT2"	"N"
"KAF7790267.1"	NA	NA	NA	"GH55(42-792)"	"GH0+GH55"	"GH55"	"Y(1-26)"
"KAF7790271.1"	"Sulfate adenylyltransferase"	"In the N-terminal section; belongs to the sulfate adenylyltransferase family"	"2.7.7.4"	NA	NA	NA	NA
